ProteinId	SampleName	Intensity	techRep	bioRep	Replicate	Imputed	log2NInt	log2NIntNorm	nRLE	z_norm	RunId	Condition
O00273	LFQ.intensity.2_hu_P1	6064800	1	1	1	0	22.5320286394407	22.5320286394407	0.119608411519177	0.31148500324671	Parental_SKBR3.1	Parental_SKBR3
O00273	LFQ.intensity.4_hu_P2	6436400	1	2	2	0	22.6178225566789	22.6178225566789	0.205402328757447	0.534910080547613	Parental_SKBR3.2	Parental_SKBR3
O00273	LFQ.intensity.6_hu_P3	7502800	1	3	3	0	22.8389976705665	22.8389976705665	0.426577442645012	1.11089575072194	Parental_SKBR3.3	Parental_SKBR3
O00299	LFQ.intensity.2_hu_P1	135580000	1	1	1	0	27.0145691350002	27.0145691350002	0.140468845863584	0.317060635085625	Parental_SKBR3.1	Parental_SKBR3
O00299	LFQ.intensity.4_hu_P2	207180000	1	2	2	0	27.626309499124	27.626309499124	0.752209209987399	1.69785640630575	Parental_SKBR3.2	Parental_SKBR3
O00299	LFQ.intensity.6_hu_P3	100380000	1	3	3	0	26.580896610309	26.580896610309	-0.293203678827634	-0.661807563428068	Parental_SKBR3.3	Parental_SKBR3
O00303	LFQ.intensity.2_hu_P1	17089000	1	1	1	0	24.0265646412577	24.0265646412577	-0.356914038344012	-0.858328320652839	Parental_SKBR3.1	Parental_SKBR3
O00303	LFQ.intensity.4_hu_P2	15992000	1	2	2	0	23.9308470414067	23.9308470414067	-0.452631638194994	-1.08851575491068	Parental_SKBR3.2	Parental_SKBR3
O00303	LFQ.intensity.6_hu_P3	17640000	1	3	3	0	24.072347225107	24.072347225107	-0.311131454494738	-0.748227612670546	Parental_SKBR3.3	Parental_SKBR3
O00330	LFQ.intensity.2_hu_P1	20699000	1	1	1	0	24.30305773484	24.30305773484	1.85979547170918	0.810710766987332	Parental_SKBR3.1	Parental_SKBR3
O00330	LFQ.intensity.4_hu_P2	24899000	1	2	2	0	24.5695844657815	24.5695844657815	2.12632220265071	0.926893483716745	Parental_SKBR3.2	Parental_SKBR3
O00330	LFQ.intensity.6_hu_P3	26152000	1	3	3	0	24.6404179464294	24.6404179464294	2.19715568329852	0.957770785171616	Parental_SKBR3.3	Parental_SKBR3
O00410	LFQ.intensity.2_hu_P1	40512000	1	1	1	0	25.2718459740904	25.2718459740904	-0.0939327957599687	-0.455401588436958	Parental_SKBR3.1	Parental_SKBR3
O00410	LFQ.intensity.4_hu_P2	40089000	1	2	2	0	25.2567030948448	25.2567030948448	-0.109075675005613	-0.528816748777734	Parental_SKBR3.2	Parental_SKBR3
O00410	LFQ.intensity.6_hu_P3	34971000	1	3	3	0	25.0596557148772	25.0596557148772	-0.30612305497316	-1.48413474084376	Parental_SKBR3.3	Parental_SKBR3
O00429	LFQ.intensity.2_hu_P1	11360000	1	1	1	0	23.4374594990541	23.4374594990541	1.10091930759271	0.8798674450757	Parental_SKBR3.1	Parental_SKBR3
O00429	LFQ.intensity.4_hu_P2	12536000	1	2	2	0	23.5795737491347	23.5795737491347	1.24303355767324	0.993446797590307	Parental_SKBR3.2	Parental_SKBR3
O00429	LFQ.intensity.6_hu_P3	10463000	1	3	3	0	23.3187932313393	23.3187932313393	0.982253039877893	0.785027991293016	Parental_SKBR3.3	Parental_SKBR3
O00487	LFQ.intensity.2_hu_P1	16859000	1	1	1	0	24.0070156288529	24.0070156288529	-0.879269548770658	-0.983431144501761	Parental_SKBR3.1	Parental_SKBR3
O00487	LFQ.intensity.4_hu_P2	15295000	1	2	2	0	23.8665567711077	23.8665567711077	-1.01972840651592	-1.14052928968484	Parental_SKBR3.2	Parental_SKBR3
O00487	LFQ.intensity.6_hu_P3	21866000	1	3	3	0	24.3821859930583	24.3821859930583	-0.504099184565245	-0.563816680234778	Parental_SKBR3.3	Parental_SKBR3
O00499	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.6533842836291	-1.45292918393703	-0.986782999918423	Parental_SKBR3.1	Parental_SKBR3
O00499	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.8683381683892	-1.23797529917693	-0.840793201108738	Parental_SKBR3.2	Parental_SKBR3
O00499	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	20.7697783795597	-1.33653508800646	-0.90773185522056	Parental_SKBR3.3	Parental_SKBR3
O00505	LFQ.intensity.2_hu_P1	5799800	1	1	1	0	22.4675717206018	22.4675717206018	-0.502926071641046	-0.992606365084175	Parental_SKBR3.1	Parental_SKBR3
O00505	LFQ.intensity.4_hu_P2	7287000	1	2	2	0	22.7968935600191	22.7968935600191	-0.173604232223717	-0.342636175827057	Parental_SKBR3.2	Parental_SKBR3
O00505	LFQ.intensity.6_hu_P3	5700100	1	3	3	0	22.4425557988189	22.4425557988189	-0.527941993423976	-1.04197935366113	Parental_SKBR3.3	Parental_SKBR3
O00515	LFQ.intensity.2_hu_P1	30384000	1	1	1	0	24.8568084748116	24.8568084748116	2.31109376020501	0.825699910769339	Parental_SKBR3.1	Parental_SKBR3
O00515	LFQ.intensity.4_hu_P2	33743000	1	2	2	0	25.0080849097018	25.0080849097018	2.46237019509522	0.87974745351346	Parental_SKBR3.2	Parental_SKBR3
O00515	LFQ.intensity.6_hu_P3	40256000	1	3	3	0	25.2627004915414	25.2627004915414	2.7169857769348	0.970715663815225	Parental_SKBR3.3	Parental_SKBR3
