ProteinId	GeneName	Description	intensities_LFQ.intensity.1_hu_C1	imputed_LFQ.intensity.1_hu_C1	intensities_LFQ.intensity.2_hu_P1	imputed_LFQ.intensity.2_hu_P1	intensities_LFQ.intensity.3_hu_C2	imputed_LFQ.intensity.3_hu_C2	intensities_LFQ.intensity.4_hu_P2	imputed_LFQ.intensity.4_hu_P2	intensities_LFQ.intensity.5_hu_C3	imputed_LFQ.intensity.5_hu_C3	intensities_LFQ.intensity.6_hu_P3	imputed_LFQ.intensity.6_hu_P3	AveExpr	t	adj.P.Val	logFC AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.L AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.R AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	P.Value AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	adj.P.Val AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	NImputed: AZD8931_resistant_SKBR3_AZDRc	NImputed: Parental_SKBR3	NReplicates: AZD8931_resistant_SKBR3_AZDRc	NReplicates: Parental_SKBR3
O15355			22.1428611730378	0	23.9832016899599	0	21.6497877000265	0	24.1895597661125	0	21.8331402543732	0	24.8395648073553	0	23.1063525651442	-8.05826710657389	0.000591450546651167	-2.46217904533005	-3.20128685323708	-1.72307123742302	0.00015214851018925	0.000591450546651167	0	0	3	3
O15371			25.6191052237007	0	24.6024655425614	0	25.3234393745149	0	24.667578061282	0	25.4236140121698	0	24.3733176163334	0	25.001586638427	6.40042358786063	0.00157344308722743	0.90759913006957	0.564582503131635	1.25061575700751	0.000564387194331578	0.00157344308722743	0	0	3	3
O15372			22.6469787647405	0	20.6765945204187	1	22.1637074058531	0	20.1346055990998	1	21.0202026075557	1	20.7619897354464	1	21.2340131055191	2.94482109955716	0.0394947217562878	1.4192329743948	0.251642556114665	2.58682339267493	0.0245430562059155	0.0394947217562878	1	3	3	3
O15381			22.1397424380831	0	22.4223183836922	0	19.7956598939564	1	22.3131288240936	0	22.7429779449024	0	22.6303204571089	0	22.0073579903061	-1.19103208189012	0.317714338842104	-0.89579579598427	-2.7179339650768	0.926342373108254	0.276848907577993	0.317714338842104	1	0	3	3
O15400			20.8472327741912	1	23.6835677921628	0	21.258587150482	1	23.6885918158316	0	20.8915994833375	1	23.5669747218649	0	22.3227589563117	-11.5200352891196	0.000160878522729257	-2.64723830728288	-3.20310294608246	-2.09137366848331	1.82040536072337e-05	0.000160878522729257	3	0	3	3
O15446			19.7171919518975	1	22.6146586274747	0	21.49980155515	1	22.5073891426228	0	21.1276960265577	1	22.5346429500666	0	21.6668967089615	-3.61648990946691	0.0185338242208434	-1.77066706218626	-2.95683285765215	-0.584501266720365	0.0103637205486117	0.0185338242208434	3	0	3	3
O15460			22.3572695562904	0	19.483352791738	1	22.3387853390285	0	20.6360858292596	1	22.4057969222281	0	20.8493414803099	1	21.3451053198091	4.92414563076016	0.00508117144932778	2.0443572387465	1.04000104736679	3.04871343012622	0.00230739186587832	0.00508117144932778	0	3	3	3
O15511			22.2130887895136	0	23.0134024192521	0	23.4809913150708	0	23.2109804324349	0	23.1029035167229	0	23.1510778741345	0	23.0287407245215	-0.532214413346614	0.643475803223614	-0.192825701504706	-1.07043212350023	0.684780720490815	0.612923544327823	0.643475803223614	0	0	3	3
O43143			24.7411888041661	0	24.5426228843867	0	24.9265102795011	0	24.5660456740724	0	24.7901464182316	0	24.6703904386347	0	24.7061507498321	1.87648485233484	0.139336097718266	0.226262168268352	-0.0654111481766349	0.51793548471334	0.107362838580016	0.139336097718266	0	0	3	3
O43172			21.3580313537346	1	23.2539294078155	0	21.0976094914591	1	23.4345355886432	0	21.2030655423136	1	23.3772952726742	0	22.28741110944	-9.89911228423388	0.000260101224879717	-2.13568462720854	-2.65756466994034	-1.61380458447674	4.52755710322761e-05	0.000260101224879717	3	0	3	3
O43175			26.5276688532343	0	24.9562428497358	0	25.3327552925324	0	22.6580946524203	0	25.8846475219367	0	23.6815318274934	0	24.8401568328922	3.53684988427871	0.0202165853315773	2.14973411268462	0.677205079774076	3.62226314559516	0.0114389737051256	0.0202165853315773	0	0	3	3
O43242			25.384427534038	0	24.5492784531368	0	25.4349173044917	0	24.6129053832543	0	25.4754355958402	0	24.7325202241921	0	25.0315807491588	7.17589024791413	0.000957137749882727	0.800025457928889	0.530339808415843	1.06971110744194	0.000296504629039758	0.000957137749882727	0	0	3	3
O43252			22.312768866785	0	21.7058554000093	1	21.1599255235252	0	20.379726243241	1	21.2805940828062	0	20.4363414852992	0	21.2125352669443	1.44605212300288	0.235586178200542	0.743788448188976	-0.502335456104895	1.98991235248285	0.196321815167119	0.235586178200542	0	2	3	3
O43264			21.4880257331787	1	22.6995834667536	0	20.6421367859406	1	22.7695925191697	0	20.4825515284755	1	22.6817033879825	0	21.7939322369168	-5.5507772408883	0.00300464434103671	-1.84605510877034	-2.65054516545121	-1.04156505208946	0.00122834795826199	0.00300464434103671	3	0	3	3
